,NUM_BO,DELEGACIA,RUBRICA,MES,LATITUDE,LONGITUDE
41556,311,DEL.POL.RIBEIRAO PIRES        ,Roubo,1,-23.72019054,-46.39001685
153454,213,02º D.P. CAMPINAS             ,Furto,1,-23.52833651,-46.66178452
54084,3365,DELEGACIA ELETRONICA          ,Roubo,1,-23.70426763,-46.52670937
545729,115,96º D.P. MONÇÕES              ,Roubo,1,-23.58980415,-46.6761534
758432,46832,DELEGACIA ELETRONICA          ,Furto,1,-23.53393951,-46.63709557
522899,479,01º D.P. DIADEMA              ,Roubo,1,-23.68906687,-46.61842968
464718,18,DEL.POL.COTIA                 ,Lesão corporal,1,-23.62024527,-46.92104362
129818,195,48º D.P.  CIDADE DUTRA        ,Furto,1,-23.73971224,-46.70384609
288427,236,DEL.POL.ITAQUAQUECETUBA       ,Roubo,1,-23.48038664,-46.35220039
740367,139961,DELEGACIA ELETRONICA          ,Furto,1,-23.68868456,-46.71473189
637712,273,77º D.P. SANTA CECILIA        ,Furto,1,-23.54920611,-46.64674008
703151,24,01º D.P. BARUERI              ,Furto,1,-23.53785748,-46.88808686
734543,278,26º D.P.  SACOMA              ,Crimes envolvendo drogas,1,-23.62493466,-46.61655724
629809,114784,DELEGACIA ELETRONICA          ,Furto,1,-23.67192476,-46.677124600000006
508575,255,89º D.P. JARDIM TABOAO        ,Furto,1,-23.634386499999998,-46.77478325
394124,96337,DELEGACIA ELETRONICA          ,Roubo,1,-23.64810689,-46.7428936
576566,266,03º D.P. DIADEMA              ,Lesão envolvendo veículos,1,-23.68909269,-46.5933739
626744,1018,11º D.P. SANTO AMARO          ,Roubo,1,-23.62855418,-46.70855293
101429,136076,DELEGACIA ELETRONICA          ,Roubo,1,-23.54159948,-46.42448821
653745,169,19º D.P.  VILA MARIA          ,Roubo,1,-23.51773342,-46.58601003
73117,392,02º D.P. MOGI DAS CRUZES      ,Lesão corporal,1,-23.56117872,-46.21653132
616185,1045,16º D.P. VILA CLEMENTINO      ,Roubo,1,-23.63635636,-46.64910562
475760,170734,DELEGACIA ELETRONICA          ,Roubo,2,-23.66067463,-46.53775468
421374,196017,DELEGACIA ELETRONICA          ,Furto,2,-23.57579623,-46.68766198
537702,610,22º D.P.  SAO MIGUEL PTA      ,Roubo,2,-23.499245499999997,-46.42474133
